case  n     age   male  farm
  1     1590  30    1     1
  1     1926  30    0     1
  2     1527  30    1     0
  0      712  30    0     0
  12    2345  40    1     1
  7     2677  40    0     1
  3      854  40    1     0
  0      401  40    0     0
  24    2787  50    1     1
  15    2902  50    0     1
  5      675  50    1     0
  4      312  50    0     0
  53    2489  60    1     1
  38    3145  60    0     1
  3      184  60    1     0
  1       80  60    0     0
  95    2381  70    1     1
  63    2918  70    0     1
  2       75  70    1     0
  0       20  70    0     0
  
